id,type,name,th,region,confidence,updated,sources
"changpuek-vs-roufus","bout","Changpuek and Rick Roufus, Las Vegas 1988","ช้างเผือก พบ ริค รูฟัส","world","high","2026-09-19","s:wp-changpuek-kiatsongrit"
"apidej","person","Apidej Sit Hirun","อภิเดช ศิษย์หิรัญ","thailand","low","2026-09-19","s:wp-muay-thai s:wikidata"
"buakaw","person","Buakaw Banchamek","บัวขาว บัญชาเมฆ","thailand","high","2026-09-19","s:wp-buakaw-banchamek"
"dieselnoi","person","Dieselnoi Chor Thanasukarn","ดีเซลน้อย ช.ธนะสุกาญจน์","thailand","medium","2026-09-19","s:thwp-ด-เซลน-อย-ช-ธนะส-กาญจน-"
"kham-kaiwai","person","Kham Kaiwai","คำ กาไวย์","north lanna","high","2026-09-19","s:thwp-คำ กาไวย์"
"khet-sriyaphai","person","Khet Sriyaphai","เขตร ศรียาภัย","south chaiya","medium","2026-09-19","s:thwp-มวยไชยา"
"manop-yarana","person","Manop Yarana","มานพ ยาระณะ","north lanna","high","2026-09-19","s:thwp-มานพ ยาระณะ"
"nai-khanom-tom","person","Nai Khanom Tom","นายขนมต้ม","thailand","medium","2026-09-19","s:thwp-นายขนมต-ม s:wp-muay-thai"
"nongtoom","person","Nong Toom","น้องตุ้ม","thailand","high","2026-09-19","s:wp-parinya-charoenphol"
"phraya-phichai","person","Phraya Phichai of the Broken Sword","พระยาพิชัยดาบหัก","north uttaradit","medium","2026-09-19","s:wp-phraya-phichai"
"rodtang","person","Rodtang Jitmuangnon","รถถัง จิตรเมืองนนท์","thailand","high","2026-09-19","s:wp-rodtang-jitmuangnon"
"saenchai","person","Saenchai","แสนชัย","thailand","high","2026-09-19","s:wp-saenchai"
"samart-payakaroon","person","Samart Payakaroon","สามารถ พยัคฆ์อรุณ","thailand","medium","2026-09-19","s:thwp-สามารถ-พย-คฆ-อร-ณ s:wp-muay-thai"
"somrak","person","Somrak Khamsing","สมรักษ์ คำสิงห์","thailand","high","2026-09-19","s:thwp-สมร-กษ-คำส-งห- s:wp-muay-thai"
"the-roster","person","Who the record remembers","ใครที่บันทึกจำไว้","world","high","2026-09-19","s:wikidata"
"tiger-king","person","The Tiger King","พระเจ้าเสือ","thailand","medium","2026-09-19","s:wp-suriyenthrathibodi s:maemai-th"
"channel-7","venue","The Channel 7 ring","สนามมวยเวทีช่อง 7","bangkok","low","2026-09-19","s:osm-gyms s:wp-muay-thai"
"lumpinee","venue","Lumpinee Boxing Stadium","สนามมวยเวทีลุมพินี","bangkok","medium","2026-09-19","s:thwp-สนามมวยเวท-ล-มพ-น- s:osm-gyms"
"mae-sariang-ring","venue","The ring at Mae Sariang","เวทีมวยไทย แม่สะเรียง","north","low","2026-09-19","s:osm-gyms"
"rajadamnern","venue","Rajadamnern Stadium","สนามมวยราชดำเนิน","bangkok","medium","2026-09-19","s:thwp-สนามมวยราชดำเน-น s:wp-muay-thai"
"wat-bang-phra","venue","Wat Bang Phra","วัดบางพระ","central","medium","2026-09-19","s:wp-wat-bang-phra s:wp-yantra-tattooing"
"camp-vs-school","gym","A camp is not a school","ค่ายมวยไม่ใช่สำนักเรียน","thailand","medium","2026-09-19","s:thwp-มวยไทย"
"choosing-a-gym","gym","What to ask before paying a month","ถามอะไรก่อนจ่ายรายเดือน","thailand","medium","2026-09-19","s:wp-muay-thai"
"ed-visa","gym","Training on a study visa","วีซ่านักเรียนเพื่อฝึกมวย","thailand","medium","2026-09-19","s:wp-visa-policy-of-thailand s:cmvd"
"the-gym-map","gym","Every gym on the map","ทุกยิมบนแผนที่","world","high","2026-09-19","s:osm-gyms s:taginfo s:wp-muay-thai s:naturalearth"
"bag-work","drill","The bag","กระสอบทราย","thailand","medium","2026-09-19","s:wp-muay-thai"
"clinch-work","drill","Clinch","ซ้อมวงใน","thailand","medium","2026-09-19","s:wp-muay-thai"
"first-session","drill","Your first session","รอบซ้อมแรกของคุณ","thailand","medium","2026-09-19","s:wp-muay-thai"
"pads","drill","Pads","เตะเป้า","thailand","medium","2026-09-19","s:wp-muay-thai"
"roadwork","drill","Roadwork","วิ่ง","thailand","medium","2026-09-19","s:wp-muay-thai"
"shadow","drill","Skipping and shadow","กระโดดเชือกและชกลม","thailand","medium","2026-09-19","s:wp-muay-thai"
"sparring","drill","Sparring","สปาร์","thailand","medium","2026-09-19","s:wp-muay-thai"
"betting","rule","The gambling floor","การพนัน","thailand","medium","2026-09-19","s:wp-muay-thai"
"doctor-stoppage","rule","The doctor, and the cut","หมอสนาม","thailand","medium","2026-09-19","s:wp-muay-thai"
"fouls","rule","What is not allowed","สิ่งที่ผิดกติกา","thailand","high","2026-09-19","s:wp-muay-thai s:thwp-มวยไทย"
"purse","rule","What a fighter is paid","ค่าตัว","thailand","medium","2026-09-19","s:wp-muay-thai"
"rounds","rule","Five rounds of three minutes","ห้ายก ยกละสามนาที","thailand","medium","2026-09-19","s:wp-muay-thai"
"scoring","rule","How a fight is actually scored","การให้คะแนน","thailand","medium","2026-09-19","s:wp-muay-thai"
"cup","kit","The cup","กระจับ","thailand","medium","2026-09-19","s:wp-muay-thai"
"gloves","kit","Gloves","นวม","thailand","medium","2026-09-19","s:wp-muay-thai"
"kaad-chuek","kit","The rope","คาดเชือก","thailand","medium","2026-09-19","s:wp-muay-thai s:thwp-มวยไทย"
"nam-man-muay","kit","The oil","น้ำมันมวย","thailand","low","2026-09-19","s:wp-muay-thai"
"shorts","kit","The shorts","กางเกงมวย","thailand","medium","2026-09-19","s:wp-muay-thai"
"takrut","kit","Takrut","ตะกรุด","thailand","medium","2026-09-19","s:wp-takrut s:wp-thai-buddha-amulet"
"angkor-1431","story","Boxers at Angkor, 1431","นักมวยที่นครธม พ.ศ. 1974","thailand","medium","2026-09-19","s:wp-muay-thai s:wp-ayutthaya-kingdom"
"ekathotsarot-law","story","The law that would not punish it","พระอัยการเบ็ดเสร็จ","thailand","medium","2026-09-19","s:wp-muay-thai s:wp-ekathotsarot"
"fight-night","story","What an evening is shaped like","รูปร่างของหนึ่งค่ำคืน","thailand","medium","2026-09-19","s:wp-muay-thai"
"first-ring","story","The ring arrives, 1921","เวทีมาถึง พ.ศ. 2464","thailand","high","2026-09-19","s:wp-muay-thai"
"kings-guard","story","The King's Guard, 1455","กรมทนายเลือก พ.ศ. 1998","thailand","medium","2026-09-19","s:wp-muay-thai s:wp-borommatrailokkanat"
"la-loubere-1687","story","A French diplomat, 1687","ทูตฝรั่งเศส พ.ศ. 2230","thailand","medium","2026-09-19","s:wp-muay-thai s:wp-simon-de-la-loub-re"
"mai-sastra","story","The hermit's school","สำนักพระฤๅษีสุกกะทันตะ","north lanna central lopburi","low","2026-09-19","s:thwp-ประวัติศาสตร์มวยไทย s:thwp-อาณาจักรหริภุญชัย s:thwp-พญามังราย s:thwp-พญางำเมือง"
"mangrai-law","story","The Mangrai law, 1296","มังรายศาสตร์","north lanna","medium","2026-09-19","s:thwp-มังรายศาสตร์ s:wp-muay-thai s:thwp-อาณาจักรล้านนา"
"nai-khanom-tom-day","story","17 March, and where the date comes from","17 มีนาคม วันมวยไทย","thailand","medium","2026-09-19","s:thwp-นายขนมต-ม"
"neighbours","story","The same sport, four borders","กีฬาเดียวกัน สี่ชายแดน","world","medium","2026-09-19","s:wp-muay-thai s:wp-lethwei"
"rama-v-golden-age","story","Rama V, and the making of a national sport","รัชกาลที่ 5 กับการทำให้เป็นกีฬาของชาติ","thailand","medium","2026-09-19","s:wp-muay-thai s:wp-chulalongkorn"
"what-we-did-not-do","story","What this site does not have","สิ่งที่เว็บนี้ไม่มี","thailand","high","2026-09-19","s:osm-gyms s:wp-muay-thai"
"why-foreigners-lose-decisions","story","Why you thought he won","ทำไมคุณคิดว่าเขาชนะ","thailand","medium","2026-09-19","s:wp-muay-thai"
"ww1-france","story","Thai troops in France, 1914–18","ทหารไทยในฝรั่งเศส","thailand","medium","2026-09-19","s:wp-muay-thai"
"bangkok","place","Bangkok","กรุงเทพมหานคร","bangkok","medium","2026-09-19","s:thwp-มวยไทย s:wp-muay-thai"
"chaiya-place","place","Chaiya","ไชยา","south chaiya","medium","2026-09-19","s:thwp-มวยไทย s:wp-muay-thai"
"chiangmai","place","Chiang Mai","เชียงใหม่","north","medium","2026-09-19","s:thwp-มวยไทย s:wp-muay-thai"
"isan","place","Isan","อีสาน","isan","medium","2026-09-19","s:thwp-มวยไทย s:wp-muay-thai"
"korat-place","place","Nakhon Ratchasima","นครราชสีมา","isan korat","medium","2026-09-19","s:thwp-มวยไทย s:wp-muay-thai"
"lanna","place","Lanna","ล้านนา","north lanna","high","2026-09-19","s:thwp-อาณาจักรล้านนา s:wp-lan-na s:thwp-ไทยวน s:thwp-พญามังราย"
"uttaradit","place","Uttaradit","อุตรดิตถ์","north uttaradit","medium","2026-09-19","s:thwp-มวยไทย s:wp-muay-thai"
"ifma","org","IFMA","สหพันธ์มวยไทยนานาชาติ","world","high","2026-09-19","s:wp-muay-thai"
"one-championship","org","ONE Championship","วัน แชมเปียนชิพ","world","high","2026-09-19","s:wp-muay-thai"
"sat","org","The Sports Authority of Thailand","การกีฬาแห่งประเทศไทย","thailand","high","2026-09-19","s:wp-muay-thai"
"wmc","org","The World Muaythai Council","สภามวยไทยโลก","thailand","high","2026-09-19","s:wp-muay-thai"
"child-boxing","issue","Children in the ring","เด็กบนเวที","thailand","high","2026-09-19","s:wp-muay-thai"
"head-injury","issue","What ten years of kicks does","ผลของการรับแรงสิบปี","thailand","high","2026-09-19","s:wp-muay-thai"
"invented-tradition","issue","How old is any of this","เรื่องนี้เก่าแค่ไหน","thailand","high","2026-09-19","s:wp-muay-thai s:thwp-มวยไทย"
"women-in-the-ring","issue","Women in the ring","ผู้หญิงบนเวที","thailand","low","2026-09-19","s:wikidata s:wp-muay-thai"
"chok","term","chok","ชก","thailand","medium","2026-09-19","s:thwp-มวยไทย"
"fimue","term","fimue","ฝีมือ","thailand","medium","2026-09-19","s:thwp-มวยไทย"
"khom-script","term","Khom, and the scripts it is not","อักษรขอม","thailand","high","2026-09-19","s:wp-khom-thai-script s:wp-tai-tham-script s:wp-yantra-tattooing"
"khru","term","khru","ครู","thailand","medium","2026-09-19","s:wp-muay-thai"
"muay-word","term","muay","มวย","thailand","medium","2026-09-19","s:wp-muay-thai"
"nak-muay","term","nak muay","นักมวย","thailand","medium","2026-09-19","s:wp-muay-thai"
"ram-muay-reading","term","Reading a ram muay","อ่านรำมวย","thailand","medium","2026-09-19","s:thwp-มวยไทย"
"te","term","te","เตะ","thailand","medium","2026-09-19","s:thwp-มวยไทย"
"wethi","term","wethi","เวที","thailand","medium","2026-09-19","s:thwp-มวยไทย"
"yok","term","yok","ยก","thailand","medium","2026-09-19","s:thwp-มวยไทย"
"ong-bak","art","Ong-Bak","องค์บาก","thailand","high","2026-09-19","s:wp-ong-bak s:maemai-th"
"ramakien-in-the-ring","art","The epic in the technique list","รามเกียรติ์ในสังเวียน","myth","medium","2026-09-19","s:thwp-รามเก-ยรต- s:maemai-th"
"wat-bang-kung-statues","art","The fifteen, standing in a courtyard","รูปปั้นแม่ไม้ วัดบางกุ้ง","central","medium","2026-09-19","s:wp-wat-bang-kung s:maemai-th"
